StudyHours,Attendance,Discussions,Motivation,AssignmentCompletion,ExamScore,FinalGrade
15,80,1,2,87,89,0
15,80,1,2,56,75,1
12,75,1,1,66,71,1
12,75,1,1,55,48,3
29,78,1,2,67,91,0
29,78,1,1,67,91,0
19,99,1,1,91,56,2
19,99,1,0,91,56,2
19,99,1,2,91,56,2
20,74,1,0,93,97,0
20,74,1,0,68,67,2
20,74,0,0,80,65,2
20,74,1,1,93,97,0
20,74,1,1,68,67,2
20,74,0,1,80,65,2
20,74,1,2,93,97,0
20,74,1,2,68,67,2
20,74,0,2,80,65,2
11,78,1,2,59,77,1
11,78,0,2,69,77,1
11,78,0,2,62,90,0
11,78,1,2,80,98,0
11,78,1,2,96,83,1
11,78,1,1,59,77,1
11,78,0,1,69,77,1
11,78,0,1,62,90,0
11,78,1,1,80,98,0
11,78,1,1,96,83,1
17,65,0,1,88,72,1
17,65,0,1,79,58,2
21,62,1,2,65,46,3
21,62,1,1,65,46,3
13,91,1,1,64,63,2
13,91,0,1,73,77,1
13,91,1,1,98,100,0
13,91,1,1,66,90,0
13,91,1,1,85,46,3
13,91,0,1,89,61,2
22,83,0,1,96,75,1
22,83,0,2,96,75,1
16,90,1,1,90,52,3
16,90,1,2,90,52,3
18,66,0,0,50,73,1
18,66,0,0,57,60,2
18,66,0,1,50,73,1
18,66,0,1,57,60,2
18,66,0,2,50,73,1
18,66,0,2,57,60,2
16,83,1,1,52,66,2
16,83,0,1,96,56,2
16,83,1,0,52,66,2
16,83,0,0,96,56,2
16,83,1,2,52,66,2
16,83,0,2,96,56,2
31,70,0,1,52,71,1
20,69,1,1,87,79,1
20,69,0,1,82,97,0
20,69,1,0,87,79,1
20,69,0,0,82,97,0
20,69,1,2,87,79,1
20,69,0,2,82,97,0
14,60,0,1,88,52,3
14,60,0,0,88,52,3
25,65,1,1,62,51,3
25,65,1,1,100,55,2
25,65,1,2,62,51,3
25,65,1,2,100,55,2
25,65,1,0,62,51,3
25,65,1,0,100,55,2
21,65,1,0,54,54,3
21,65,1,0,96,78,1
8,99,1,0,99,97,0
8,99,1,0,89,54,3
8,99,1,0,59,91,0
8,99,1,1,99,97,0
8,99,1,1,89,54,3
8,99,1,1,59,91,0
12,72,1,1,58,100,0
12,72,1,1,51,42,3
12,72,0,1,61,73,1
12,72,1,2,58,100,0
12,72,1,2,51,42,3
12,72,0,2,61,73,1
12,72,1,0,58,100,0
12,72,1,0,51,42,3
12,72,0,0,61,73,1
21,65,0,0,93,95,0
21,65,0,2,93,95,0
21,65,0,1,93,95,0
24,68,1,0,78,61,2
24,68,1,1,78,61,2
24,68,1,2,78,61,2
21,84,0,0,79,56,2
21,84,0,1,79,56,2
18,94,1,1,83,93,0
18,94,1,1,55,51,3
18,94,1,2,83,93,0
18,94,1,2,55,51,3
18,94,1,0,83,93,0
18,94,1,0,55,51,3
11,98,0,0,77,81,1
11,98,1,0,94,52,3
11,98,0,0,58,87,0
11,98,0,2,77,81,1
11,98,1,2,94,52,3
11,98,0,2,58,87,0
16,70,1,1,94,84,1
16,70,0,1,89,83,1
16,70,1,1,53,86,0
16,70,1,2,94,84,1
16,70,0,2,89,83,1
16,70,1,2,53,86,0
17,78,1,1,84,59,2
17,78,0,1,90,85,0
17,78,1,1,58,85,0
17,78,1,0,84,59,2
17,78,0,0,90,85,0
17,78,1,0,58,85,0
26,61,0,1,69,99,0
26,61,0,2,69,99,0
22,86,0,0,60,47,3
22,86,1,0,73,55,2
22,86,0,0,100,87,0
22,86,1,0,86,96,0
22,86,0,1,60,47,3
22,86,1,1,73,55,2
22,86,0,1,100,87,0
22,86,1,1,86,96,0
22,86,0,2,60,47,3
22,86,1,2,73,55,2
22,86,0,2,100,87,0
22,86,1,2,86,96,0
9,77,1,1,63,76,1
9,77,1,1,61,65,2
9,77,0,1,51,66,2
9,77,1,0,63,76,1
9,77,1,0,61,65,2
9,77,0,0,51,66,2
22,71,0,0,71,52,3
22,71,0,2,71,52,3
22,71,0,1,71,52,3
18,68,0,1,93,92,0
18,68,0,1,55,98,0
18,68,0,0,93,92,0
18,68,0,0,55,98,0
18,68,0,2,93,92,0
18,68,0,2,55,98,0
16,86,1,1,92,94,0
16,86,1,1,100,98,0
16,86,0,1,60,92,0
16,86,1,0,92,94,0
16,86,1,0,100,98,0
16,86,0,0,60,92,0
16,86,1,2,92,94,0
16,86,1,2,100,98,0
16,86,0,2,60,92,0
24,77,1,1,99,66,2
24,77,0,1,82,51,3
24,77,0,1,76,62,2
24,77,1,1,71,62,2
24,77,1,2,99,66,2
24,77,0,2,82,51,3
24,77,0,2,76,62,2
24,77,1,2,71,62,2
26,67,1,0,91,82,1
26,67,0,0,75,43,3
26,67,1,0,100,63,2
26,67,1,1,91,82,1
26,67,0,1,75,43,3
26,67,1,1,100,63,2
26,88,1,1,98,62,2
26,88,0,1,55,50,3
26,88,1,1,54,54,3
26,88,1,0,98,62,2
26,88,0,0,55,50,3
26,88,1,0,54,54,3
15,83,0,0,50,93,0
15,83,1,0,69,64,2
15,83,0,1,50,93,0
15,83,1,1,69,64,2
22,65,1,1,79,42,3
22,65,1,0,79,42,3
22,65,1,2,79,42,3
26,91,1,1,95,69,2
26,91,0,1,54,88,0
26,91,1,1,80,89,0
26,91,1,0,95,69,2
26,91,0,0,54,88,0
26,91,1,0,80,89,0
17,87,0,1,66,45,3
17,87,0,1,86,90,0
17,87,0,2,66,45,3
17,87,0,2,86,90,0
17,87,0,0,66,45,3
17,87,0,0,86,90,0
19,65,1,0,60,46,3
19,65,1,1,60,46,3
13,88,1,2,84,88,0
13,88,1,2,79,47,3
13,88,1,1,84,88,0
13,88,1,1,79,47,3
13,78,1,2,96,50,3
13,78,0,2,62,42,3
13,78,1,2,63,54,3
13,78,1,2,100,71,1
13,78,1,1,96,50,3
13,78,0,1,62,42,3
13,78,1,1,63,54,3
13,78,1,1,100,71,1
13,78,1,0,96,50,3
13,78,0,0,62,42,3
13,78,1,0,63,54,3
13,78,1,0,100,71,1
28,66,0,1,79,97,0
28,66,1,1,63,91,0
28,66,0,1,85,41,3
28,66,0,0,79,97,0
28,66,1,0,63,91,0
28,66,0,0,85,41,3
20,86,1,1,89,53,3
20,86,1,2,89,53,3
20,86,1,0,89,53,3
26,75,1,2,66,86,0
26,75,1,0,66,86,0
26,75,1,1,66,86,0
22,98,0,0,52,75,1
22,98,1,0,58,66,2
22,98,0,1,52,75,1
22,98,1,1,58,66,2
22,98,0,2,52,75,1
22,98,1,2,58,66,2
16,73,1,1,68,69,2
16,73,1,0,68,69,2
29,96,1,1,90,59,2
29,96,1,1,72,90,0
29,96,1,1,50,84,1
29,96,1,0,90,59,2
29,96,1,0,72,90,0
29,96,1,0,50,84,1
29,96,1,2,90,59,2
29,96,1,2,72,90,0
29,96,1,2,50,84,1
20,71,0,1,68,81,1
20,71,0,2,68,81,1
29,92,1,1,96,60,2
29,92,1,1,72,89,0
29,92,1,0,96,60,2
29,92,1,0,72,89,0
25,70,1,1,65,75,1
25,70,1,1,75,78,1
25,70,1,0,65,75,1
25,70,1,0,75,78,1
21,77,1,1,73,47,3
21,77,1,1,97,50,3
21,77,1,0,73,47,3
21,77,1,0,97,50,3
21,77,1,2,73,47,3
21,77,1,2,97,50,3
18,81,1,1,65,87,0
18,81,0,1,95,77,1
18,81,1,2,65,87,0
18,81,0,2,95,77,1
18,81,1,0,65,87,0
18,81,0,0,95,77,1
8,61,1,1,70,73,1
8,61,0,1,92,84,1
19,69,0,2,71,96,0
19,69,0,2,68,84,1
19,69,0,1,71,96,0
19,69,0,1,68,84,1
19,69,0,0,71,96,0
19,69,0,0,68,84,1
29,78,0,0,65,71,1
29,78,0,1,65,71,1
29,78,0,2,65,71,1
17,67,0,2,52,69,2
17,67,1,2,78,70,1
17,67,0,1,52,69,2
17,67,1,1,78,70,1
15,95,0,1,64,64,2
15,95,1,1,79,41,3
15,95,1,1,80,53,3
15,95,0,0,64,64,2
15,95,1,0,79,41,3
15,95,1,0,80,53,3
17,88,0,0,95,66,2
17,88,1,0,64,79,1
17,88,1,0,69,46,3
17,88,1,0,53,61,2
17,88,0,1,95,66,2
17,88,1,1,64,79,1
17,88,1,1,69,46,3
17,88,1,1,53,61,2
25,63,0,1,82,82,1
25,63,1,1,79,55,2
25,63,1,1,55,45,3
25,63,0,2,82,82,1
25,63,1,2,79,55,2
25,63,1,2,55,45,3
17,86,0,2,92,97,0
17,86,0,2,54,95,0
17,86,1,2,88,73,1
17,86,0,0,92,97,0
17,86,0,0,54,95,0
17,86,1,0,88,73,1
17,86,0,1,92,97,0
17,86,0,1,54,95,0
17,86,1,1,88,73,1
23,98,0,0,76,89,0
23,98,0,0,99,84,1
23,98,1,0,59,46,3
23,98,0,2,76,89,0
23,98,0,2,99,84,1
23,98,1,2,59,46,3
23,98,0,1,76,89,0
23,98,0,1,99,84,1
23,98,1,1,59,46,3
26,70,0,1,77,54,3
26,70,1,1,89,92,0
26,70,1,1,73,43,3
16,97,1,0,74,85,0
16,97,1,0,71,99,0
16,97,0,0,74,94,0
16,97,1,0,60,54,3
16,97,1,1,74,85,0
16,97,1,1,71,99,0
16,97,0,1,74,94,0
16,97,1,1,60,54,3
16,97,1,2,74,85,0
16,97,1,2,71,99,0
16,97,0,2,74,94,0
16,97,1,2,60,54,3
18,89,1,1,81,68,2
18,89,1,1,99,94,0
18,89,0,1,80,40,3
18,89,1,1,84,58,2
18,89,0,1,63,74,1
18,89,1,0,81,68,2
18,89,1,0,99,94,0
18,89,0,0,80,40,3
18,89,1,0,84,58,2
18,89,0,0,63,74,1
11,91,1,1,57,46,3
11,91,0,1,58,43,3
11,91,1,0,57,46,3
11,91,0,0,58,43,3
22,64,1,0,70,97,0
22,64,1,0,85,90,0
22,64,1,0,88,74,1
22,64,1,0,55,49,3
22,64,1,1,70,97,0
22,64,1,1,85,90,0
22,64,1,1,88,74,1
22,64,1,1,55,49,3
22,64,1,2,70,97,0
22,64,1,2,85,90,0
22,64,1,2,88,74,1
22,64,1,2,55,49,3
22,81,1,0,80,79,1
22,81,1,0,75,54,3
22,81,0,0,52,95,0
22,81,1,2,80,79,1
22,81,1,2,75,54,3
22,81,0,2,52,95,0
22,81,1,1,80,79,1
22,81,1,1,75,54,3
22,81,0,1,52,95,0
19,67,1,2,74,81,1
19,67,1,1,74,81,1
19,67,1,0,74,81,1
12,92,0,2,62,89,0
12,92,0,2,86,98,0
12,92,0,0,62,89,0
12,92,0,0,86,98,0
12,92,0,1,62,89,0
12,92,0,1,86,98,0
18,79,1,1,75,64,2
18,79,1,0,75,64,2
18,79,1,2,75,64,2
15,98,1,2,95,100,0
15,98,1,0,95,100,0
22,99,1,0,64,80,1
22,99,1,0,88,73,1
22,99,1,0,95,82,1
22,99,1,1,64,80,1
22,99,1,1,88,73,1
22,99,1,1,95,82,1
22,99,1,2,64,80,1
22,99,1,2,88,73,1
22,99,1,2,95,82,1
31,100,0,1,64,97,0
21,82,0,2,62,47,3
21,82,0,1,62,47,3
22,67,1,2,76,100,0
22,67,1,0,76,100,0
22,67,1,1,76,100,0
20,73,0,1,58,45,3
20,73,0,0,58,45,3
20,73,0,2,58,45,3
8,77,0,1,77,86,0
8,77,1,1,58,88,0
8,77,1,1,77,70,1
8,77,0,0,77,86,0
8,77,1,0,58,88,0
8,77,1,0,77,70,1
20,72,1,1,55,50,3
20,72,1,0,55,50,3
20,72,1,2,55,50,3
20,71,1,2,83,62,2
20,71,0,2,83,87,0
20,71,1,1,83,62,2
20,71,0,1,83,87,0
20,71,1,0,83,62,2
20,71,0,0,83,87,0
35,99,0,0,81,64,2
19,66,1,1,99,96,0
19,66,1,0,99,96,0
22,89,1,1,68,76,1
22,89,0,1,69,96,0
22,89,1,0,68,76,1
22,89,0,0,69,96,0
20,60,1,2,92,48,3
20,60,0,2,84,79,1
20,60,1,0,92,48,3
20,60,0,0,84,79,1
20,60,1,1,92,48,3
20,60,0,1,84,79,1
13,84,0,1,59,63,2
13,84,1,1,73,58,2
13,84,0,1,61,79,1
13,84,0,1,87,86,0
13,84,0,1,89,84,1
13,84,0,1,99,71,1
13,84,0,0,59,63,2
13,84,1,0,73,58,2
13,84,0,0,61,79,1
13,84,0,0,87,86,0
13,84,0,0,89,84,1
13,84,0,0,99,71,1
27,97,1,1,59,46,3
27,97,1,1,80,62,2
27,97,1,1,54,66,2
25,72,0,0,66,57,2
25,72,1,0,86,76,1
25,72,0,1,66,57,2
25,72,1,1,86,76,1
25,72,0,2,66,57,2
25,72,1,2,86,76,1
25,67,1,2,61,59,2
25,67,0,2,59,50,3
25,67,1,2,67,99,0
25,67,1,2,95,98,0
25,67,1,1,61,59,2
25,67,0,1,59,50,3
25,67,1,1,67,99,0
25,67,1,1,95,98,0
15,86,1,1,67,55,2
15,86,1,2,67,55,2
15,86,1,0,67,55,2
28,89,1,2,52,68,2
28,89,0,2,90,51,3
28,89,0,2,80,96,0
28,89,0,2,79,87,0
28,89,0,2,74,46,3
28,89,1,2,91,90,0
12,88,0,0,87,55,2
12,88,1,0,63,96,0
12,88,1,0,86,77,1
12,88,0,1,87,55,2
12,88,1,1,63,96,0
12,88,1,1,86,77,1
12,88,0,2,87,55,2
12,88,1,2,63,96,0
12,88,1,2,86,77,1
24,73,1,1,61,59,2
24,73,1,2,61,59,2
24,73,1,0,61,59,2
14,98,0,1,60,73,1
14,98,1,1,74,65,2
14,98,0,1,68,65,2
14,98,0,1,72,91,0
14,98,0,0,60,73,1
14,98,1,0,74,65,2
14,98,0,0,68,65,2
14,98,0,0,72,91,0
21,78,0,1,95,90,0
21,78,0,0,95,90,0
17,94,0,0,73,59,2
17,94,0,0,63,87,0
17,94,1,0,57,50,3
17,94,0,1,73,59,2
17,94,0,1,63,87,0
17,94,1,1,57,50,3
20,77,1,0,76,59,2
20,77,1,0,53,69,2
20,77,1,1,76,59,2
20,77,1,1,53,69,2
14,66,1,1,62,82,1
14,66,1,1,74,83,1
14,66,1,0,62,82,1
14,66,1,0,74,83,1
23,77,0,1,59,46,3
23,77,1,1,92,62,2
23,77,0,0,59,46,3
23,77,1,0,92,62,2
14,81,0,1,91,49,3
14,81,0,0,91,49,3
29,61,1,0,93,86,0
29,61,1,0,96,71,1
29,61,1,0,88,84,1
15,78,0,0,89,86,0
15,78,0,1,89,86,0
15,78,0,2,89,86,0
18,91,0,1,92,71,1
18,91,0,1,69,100,0
18,91,0,1,93,82,1
18,91,1,1,58,79,1
25,87,0,2,62,72,1
25,87,1,2,62,50,3
25,87,1,2,94,82,1
25,87,0,0,62,72,1
25,87,1,0,62,50,3
25,87,1,0,94,82,1
25,87,0,1,62,72,1
25,87,1,1,62,50,3
25,87,1,1,94,82,1
13,85,0,1,97,50,3
13,85,1,1,79,68,2
13,85,1,1,98,40,3
13,85,1,1,81,67,2
13,85,1,1,72,99,0
13,85,0,0,97,50,3
13,85,1,0,79,68,2
13,85,1,0,98,40,3
13,85,1,0,81,67,2
13,85,1,0,72,99,0
13,85,0,2,97,50,3
13,85,1,2,79,68,2
13,85,1,2,98,40,3
13,85,1,2,81,67,2
13,85,1,2,72,99,0
21,96,1,2,81,63,2
21,96,1,2,55,65,2
21,96,1,1,81,63,2
21,96,1,1,55,65,2
21,96,1,0,81,63,2
21,96,1,0,55,65,2
28,61,0,2,51,93,0
10,82,0,1,71,66,2
10,82,1,1,65,89,0
21,91,1,1,95,44,3
21,91,1,1,86,91,0
21,91,1,1,93,95,0
21,91,1,2,95,44,3
21,91,1,2,86,91,0
21,91,1,2,93,95,0
21,91,1,0,95,44,3
21,91,1,0,86,91,0
21,91,1,0,93,95,0
22,82,1,1,93,70,1
22,82,0,1,97,86,0
22,82,1,0,93,70,1
22,82,0,0,97,86,0
22,82,1,2,93,70,1
22,82,0,2,97,86,0
25,73,0,2,82,45,3
25,73,0,2,81,62,2
25,73,0,2,57,54,3
25,73,0,1,82,45,3
25,73,0,1,81,62,2
25,73,0,1,57,54,3
25,73,0,0,82,45,3
25,73,0,0,81,62,2
25,73,0,0,57,54,3
23,79,1,0,98,61,2
23,79,1,0,57,54,3
23,79,1,0,98,97,0
23,79,1,0,51,42,3
23,79,1,1,98,61,2
23,79,1,1,57,54,3
23,79,1,1,98,97,0
23,79,1,1,51,42,3
22,95,1,1,67,49,3
22,95,1,1,64,40,3
22,95,0,1,56,72,1
22,95,1,1,98,92,0
22,95,1,1,98,64,2
22,83,0,1,73,44,3
22,83,1,1,71,64,2
22,83,0,1,66,87,0
22,83,0,0,73,44,3
22,83,1,0,71,64,2
22,83,0,0,66,87,0
22,87,0,0,100,61,2
22,87,1,0,53,45,3
22,87,1,0,83,83,1
22,87,1,0,89,86,0
22,87,1,0,52,47,3
22,87,0,1,100,61,2
22,87,1,1,53,45,3
22,87,1,1,83,83,1
22,87,1,1,89,86,0
22,87,1,1,52,47,3
16,92,1,0,67,66,2
16,92,1,0,74,61,2
16,92,0,0,84,56,2
16,92,1,2,67,66,2
16,92,1,2,74,61,2
16,92,0,2,84,56,2
16,92,1,1,67,66,2
16,92,1,1,74,61,2
16,92,0,1,84,56,2
21,86,0,1,85,69,2
22,76,1,1,50,44,3
22,76,1,0,50,44,3
16,81,1,1,50,50,3
23,75,0,0,73,100,0
23,75,1,0,65,85,0
23,75,0,2,73,100,0
23,75,1,2,65,85,0
23,75,0,1,73,100,0
23,75,1,1,65,85,0
13,76,1,0,85,84,1
13,76,1,0,89,63,2
13,76,0,0,62,98,0
24,64,0,2,81,55,2
24,64,1,2,60,63,2
24,64,0,2,89,45,3
24,64,0,0,81,55,2
24,64,1,0,60,63,2
24,64,0,0,89,45,3
24,64,0,1,81,55,2
24,64,1,1,60,63,2
24,64,0,1,89,45,3
14,97,1,1,75,79,1
14,97,1,1,77,57,2
14,97,1,1,94,86,0
14,97,1,1,93,48,3
14,97,1,2,75,79,1
14,97,1,2,77,57,2
14,97,1,2,94,86,0
14,97,1,2,93,48,3
25,64,0,0,100,93,0
25,64,1,0,57,40,3
25,64,0,1,100,93,0
25,64,1,1,57,40,3
27,86,1,0,71,67,2
27,86,1,0,51,69,2
27,86,1,1,71,67,2
27,86,1,1,51,69,2
15,77,0,0,90,74,1
15,77,1,0,51,81,1
15,77,0,2,90,74,1
15,77,1,2,51,81,1
15,77,0,1,90,74,1
15,77,1,1,51,81,1
26,76,1,1,77,48,3
26,76,1,1,98,49,3
26,76,1,1,70,91,0
26,76,1,2,77,48,3
26,76,1,2,98,49,3
26,76,1,2,70,91,0
26,76,1,0,77,48,3
26,76,1,0,98,49,3
26,76,1,0,70,91,0
22,87,1,1,100,82,1
22,87,1,0,100,82,1
31,84,0,1,60,56,2
31,84,1,1,91,70,1
31,84,0,2,60,56,2
31,84,1,2,91,70,1
31,84,0,0,60,56,2
31,84,1,0,91,70,1
19,91,0,1,53,66,2
19,91,1,1,65,52,3
19,91,0,2,53,66,2
19,91,1,2,65,52,3
15,93,0,1,62,90,0
15,93,1,1,50,56,2
15,93,0,0,62,90,0
15,93,1,0,50,56,2
15,67,1,2,61,100,0
15,67,0,2,77,85,0
15,67,1,1,61,100,0
15,67,0,1,77,85,0
15,67,1,0,61,100,0
15,67,0,0,77,85,0
15,96,0,2,98,73,1
15,96,0,1,98,73,1
20,86,1,1,50,73,1
20,86,1,1,73,88,0
20,86,1,1,75,76,1
20,86,1,0,50,73,1
20,86,1,0,73,88,0
20,86,1,0,75,76,1
22,95,1,0,66,87,0
22,95,1,1,66,87,0
22,95,1,2,66,87,0
22,79,0,1,100,86,0
22,79,0,2,100,86,0
22,79,0,0,100,86,0
25,82,0,1,79,72,1
25,82,0,1,88,49,3
25,82,0,2,79,72,1
25,82,0,2,88,49,3
20,97,0,0,85,80,1
20,97,1,0,74,91,0
20,97,0,0,74,59,2
20,97,0,1,85,80,1
20,97,1,1,74,91,0
20,97,0,1,74,59,2
20,97,0,2,85,80,1
20,97,1,2,74,91,0
20,97,0,2,74,59,2
29,96,1,0,62,59,2
29,96,1,1,62,59,2
18,78,1,2,50,67,2
18,78,1,1,50,67,2
18,78,1,0,50,67,2
36,71,0,1,94,60,2
36,71,1,1,63,55,2
24,76,1,0,76,58,2
24,76,1,0,90,98,0
24,76,0,0,99,40,3
24,76,1,0,53,86,0
24,76,1,1,76,58,2
24,76,1,1,90,98,0
24,76,0,1,99,40,3
24,76,1,1,53,86,0
24,76,1,2,76,58,2
24,76,1,2,90,98,0
24,76,0,2,99,40,3
24,76,1,2,53,86,0
15,76,1,1,61,42,3
15,76,1,1,58,88,0
14,71,0,0,89,63,2
14,71,1,0,60,42,3
14,71,1,0,75,90,0
23,71,1,0,69,46,3
23,71,1,1,69,46,3
19,94,1,1,69,56,2
19,94,1,1,68,43,3
19,94,0,1,58,56,2
19,94,1,1,83,90,0
19,94,1,2,69,56,2
19,94,1,2,68,43,3
19,94,0,2,58,56,2
19,94,1,2,83,90,0
24,63,1,1,81,60,2
24,63,1,1,95,89,0
24,63,1,1,58,88,0
24,63,1,0,81,60,2
24,63,1,0,95,89,0
24,63,1,0,58,88,0
24,63,1,2,81,60,2
24,63,1,2,95,89,0
24,63,1,2,58,88,0
23,87,0,2,67,90,0
23,87,0,1,67,90,0
20,67,1,1,85,57,2
20,67,0,1,83,100,0
20,67,1,1,59,63,2
20,67,1,2,85,57,2
20,67,0,2,83,100,0
20,67,1,2,59,63,2
20,67,1,0,85,57,2
20,67,0,0,83,100,0
20,67,1,0,59,63,2
15,74,1,0,88,65,2
15,74,1,0,67,40,3
11,62,0,1,72,53,3
11,62,0,1,69,85,0
11,62,0,1,82,41,3
11,62,1,1,69,80,1
11,62,1,1,79,71,1
11,62,0,1,76,99,0
11,62,0,2,72,53,3
11,62,0,2,69,85,0
11,62,0,2,82,41,3
11,62,1,2,69,80,1
11,62,1,2,79,71,1
11,62,0,2,76,99,0
17,71,1,1,68,55,2
17,71,1,0,68,55,2
25,91,1,0,62,57,2
25,91,0,0,54,68,2
25,91,1,0,71,42,3
25,91,1,0,73,48,3
25,91,1,2,62,57,2
25,91,0,2,54,68,2
25,91,1,2,71,42,3
25,91,1,2,73,48,3
25,91,1,1,62,57,2
25,91,0,1,54,68,2
25,91,1,1,71,42,3
25,91,1,1,73,48,3
21,95,1,2,72,100,0
21,95,1,2,58,56,2
21,95,1,2,88,94,0
21,95,0,2,99,71,1
21,95,1,2,88,76,1
21,95,1,0,72,100,0
21,95,1,0,58,56,2
21,95,1,0,88,94,0
21,95,0,0,99,71,1
21,95,1,0,88,76,1
21,95,1,1,72,100,0
21,95,1,1,58,56,2
21,95,1,1,88,94,0
21,95,0,1,99,71,1
21,95,1,1,88,76,1
13,69,1,0,56,65,2
13,69,0,0,74,72,1
13,69,1,0,96,61,2
13,69,1,0,58,50,3
13,69,1,2,56,65,2
13,69,0,2,74,72,1
13,69,1,2,96,61,2
13,69,1,2,58,50,3
21,79,1,0,59,80,1
21,79,1,0,85,55,2
21,79,1,0,75,75,1
21,79,1,1,59,80,1
21,79,1,1,85,55,2
21,79,1,1,75,75,1
21,79,1,2,59,80,1
21,79,1,2,85,55,2
21,79,1,2,75,75,1
21,91,0,1,83,98,0
21,91,0,2,83,98,0
20,81,1,2,73,56,2
20,81,1,2,83,81,1
20,81,1,0,73,56,2
20,81,1,0,83,81,1
20,81,1,1,73,56,2
20,81,1,1,83,81,1
13,87,0,1,88,61,2
13,87,0,0,88,61,2
13,87,0,2,88,61,2
22,94,1,2,83,56,2
22,94,1,2,98,96,0
22,94,1,1,83,56,2
22,94,1,1,98,96,0
23,60,1,1,92,67,2
23,60,0,1,93,60,2
23,60,0,1,63,62,2
12,90,0,1,88,94,0
12,90,0,1,62,70,1
12,90,1,1,67,73,1
12,90,0,0,88,94,0
12,90,0,0,62,70,1
12,90,1,0,67,73,1
14,82,1,1,60,41,3
14,82,1,1,70,78,1
14,82,0,1,63,48,3
14,82,1,0,60,41,3
14,82,1,0,70,78,1
14,82,0,0,63,48,3
14,82,1,2,60,41,3
14,82,1,2,70,78,1
14,82,0,2,63,48,3
23,81,1,1,59,57,2
23,81,1,1,90,54,3
23,81,1,1,79,57,2
23,81,1,0,59,57,2
23,81,1,0,90,54,3
23,81,1,0,79,57,2
23,81,1,2,59,57,2
23,81,1,2,90,54,3
23,81,1,2,79,57,2
23,74,1,0,61,84,1
23,74,1,0,72,56,2
23,74,1,0,65,62,2
23,74,1,1,61,84,1
23,74,1,1,72,56,2
23,74,1,1,65,62,2
43,86,1,1,56,58,2
23,77,0,0,55,64,2
23,77,0,0,90,78,1
23,77,0,0,52,91,0
23,77,1,0,59,51,3
23,77,0,1,55,64,2
23,77,0,1,90,78,1
23,77,0,1,52,91,0
23,77,1,1,59,51,3
27,89,0,1,51,67,2
27,89,1,1,77,75,1
27,89,1,1,98,97,0
26,94,1,2,100,86,0
26,94,0,2,72,74,1
26,94,1,0,100,86,0
26,94,0,0,72,74,1
24,66,0,0,56,84,1
18,78,1,1,76,83,1
18,78,1,0,76,83,1
18,78,1,2,76,83,1
25,76,1,2,98,68,2
25,76,1,2,56,83,1
25,76,1,1,98,68,2
25,76,1,1,56,83,1
15,87,0,1,59,59,2
15,87,0,1,95,87,0
15,87,1,1,52,97,0
15,87,0,2,59,59,2
15,87,0,2,95,87,0
15,87,1,2,52,97,0
19,70,1,2,56,77,1
19,70,0,2,53,91,0
19,70,1,0,56,77,1
19,70,0,0,53,91,0
19,70,1,1,56,77,1
19,70,0,1,53,91,0
20,95,1,0,71,55,2
20,95,1,1,71,55,2
20,95,1,2,71,55,2
10,64,0,2,61,65,2
10,64,1,2,62,68,2
10,64,1,2,67,59,2
10,64,1,2,62,40,3
